spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
4361820,0,7.94895e+07,0,0,0,17,0,0,0
4361818,1,1.85869e+09,0,0,0,92,0,0,0
4361794,2,2.88206e+07,0,0,0,30,0,0,0
4361793,3,1.1266e+07,0,0,0,14,0,0,0
4361792,4,3.02335e+07,0,0,0,24,0,0,0
4361790,5,3.48598e+07,0,0,0,25,0,0,0
4361788,6,1.87886e+06,0,0,0,5,0,0,0
4361787,7,594468,0,0,0,2,0,0,0
4361776,8,4.32016e+07,0,0,0,16,0,0,0
4361774,9,3.47808e+07,0,0,0,22,0,0,0
4361773,10,4.59311e+06,0,0,0,8,0,0,0
4361772,11,1.24183e+07,0,0,0,27,0,0,0
4361703,12,7.43541e+07,0,0,0,65,0,0,0
4361701,13,1.03691e+08,0,0,0,32,0,0,0
4361700,14,1.63226e+08,0,0,0,60,0,0,0
4361698,15,4.80265e+07,0,0,0,37,0,0,0
4361696,16,5.22988e+07,0,0,0,58,0,0,0
4361695,17,1.18616e+06,0,0,0,2,0,0,0
4361693,18,8.54745e+06,0,0,0,13,0,0,0
4361691,19,2.50998e+07,0,0,0,12,0,0,0
4361690,20,5.53671e+07,0,0,0,28,0,0,0
4361688,21,450074,0,0,0,6,0,0,0
4361687,22,4.44225e+06,0,0,0,6,0,0,0
4361619,23,1.56496e+07,0,0,0,43,0,0,0
4361617,24,4.82843e+06,0,0,0,3,0,0,0
4361616,25,9.23554e+06,0,0,0,15,0,0,0
4361615,26,52136.4,0,0,0,1,0,0,0
4361611,27,5.15424e+06,0,0,0,2,0,0,0
4361603,28,5.48947e+06,0,0,0,5,0,0,0
4361598,29,862971,0,0,0,1,0,0,0
4361583,30,7.56433e+06,0,0,0,42,0,0,0
4361581,31,4.616e+06,0,0,0,8,0,0,0
4361580,32,2.0483e+07,0,0,0,37,0,0,0
4361575,33,4.86877e+06,0,0,0,14,0,0,0
4361565,34,1.39084e+06,0,0,0,7,0,0,0
4361562,35,1.0349e+07,0,0,0,6,0,0,0
4361521,36,2.66504e+06,0,0,0,8,0,0,0
4361519,37,3.09027e+06,0,0,0,8,0,0,0
3351793,38,4.34251e+06,0,0,0,7,0,0,0
3351774,39,2.5455e+07,0,0,0,24,0,0,0
3351772,40,1.49848e+07,0,0,0,19,0,0,0
3351771,41,1.15005e+06,0,0,0,3,0,0,0
3351768,42,709894,0,0,0,1,0,0,0
3351766,43,889828,0,0,0,3,0,0,0
3351765,44,5.14729e+06,0,0,0,3,0,0,0
3351764,45,2.99785e+06,0,0,0,3,0,0,0
3351763,46,2.33928e+06,0,0,0,3,0,0,0
3351731,47,8.98962e+07,0,0,0,17,0,0,0
3351729,48,1.76851e+08,0,0,0,23,0,0,0
3351728,49,1.89989e+07,0,0,0,8,0,0,0
3351727,50,1.13876e+06,0,0,0,3,0,0,0
3351726,51,1.23137e+07,0,0,0,7,0,0,0
3351724,52,4.52744e+06,0,0,0,7,0,0,0
3351721,53,3.53146e+06,0,0,0,4,0,0,0
3351720,54,2.70309e+07,0,0,0,8,0,0,0
3351719,55,1.88465e+08,0,0,0,19,0,0,0
3351716,56,1.78782e+06,0,0,0,7,0,0,0
3351703,57,7.79179e+07,0,0,0,14,0,0,0
3351702,58,4.97147e+06,0,0,0,3,0,0,0
3351701,59,1.08977e+08,0,0,0,22,0,0,0
3351700,60,4.76004e+07,0,0,0,20,0,0,0
3351699,61,699404,0,0,0,2,0,0,0
3351698,62,8.96058e+07,0,0,0,16,0,0,0
3351696,63,2.18453e+07,0,0,0,19,0,0,0
3351692,64,2.40686e+07,0,0,0,16,0,0,0
3351691,65,3.56118e+07,0,0,0,9,0,0,0
3351690,66,2.78832e+07,0,0,0,6,0,0,0
3351687,67,4.1875e+06,0,0,0,16,0,0,0
3351636,68,7.90505e+07,0,0,0,39,0,0,0
3351634,69,2.25181e+07,0,0,0,13,0,0,0
3351633,70,7.06689e+06,0,0,0,17,0,0,0
3351631,71,2.24241e+07,0,0,0,22,0,0,0
3351629,72,1.32407e+07,0,0,0,14,0,0,0
3351627,73,6.17839e+06,0,0,0,3,0,0,0
3351626,74,2.60244e+06,0,0,0,7,0,0,0
3351625,75,3.56393e+07,0,0,0,8,0,0,0
3351624,76,1.23868e+08,0,0,0,25,0,0,0
3351621,77,2.79824e+06,0,0,0,5,0,0,0
3351620,78,978192,0,0,0,7,0,0,0
3351619,79,4.24754e+07,0,0,0,38,0,0,0
3351618,80,918536,0,0,0,1,0,0,0
3351617,81,1.97825e+07,0,0,0,10,0,0,0
3351616,82,1.24857e+07,0,0,0,9,0,0,0
3351615,83,125959,0,0,0,5,0,0,0
3351611,84,1.47006e+07,0,0,0,9,0,0,0
3351610,85,6.23726e+06,0,0,0,6,0,0,0
3351608,86,1.16343e+07,0,0,0,6,0,0,0
3351604,87,1.11823e+06,0,0,0,2,0,0,0
3351603,88,1.14622e+08,0,0,0,17,0,0,0
3351601,89,1.02649e+07,0,0,0,31,0,0,0
3351598,90,750873,0,0,0,4,0,0,0
3351597,91,789860,0,0,0,16,0,0,0
3351593,92,1.34418e+06,0,0,0,6,0,0,0
3351583,93,898221,0,0,0,1,0,0,0
3351580,94,2.17479e+06,0,0,0,12,0,0,0
3351579,95,332782,0,0,0,6,0,0,0
3351575,96,572380,0,0,0,1,0,0,0
3351574,97,2.26787e+06,0,0,0,1,0,0,0
3351573,98,796457,0,0,0,2,0,0,0
3351572,99,692060,0,0,0,1,0,0,0
3351568,100,3.06747e+06,0,0,0,4,0,0,0
3351565,101,4.46679e+06,0,0,0,11,0,0,0
3351561,102,1.55055e+06,0,0,0,3,0,0,0
3351541,103,1.11375e+06,0,0,0,7,0,0,0
3351529,104,1.49413e+06,0,0,0,2,0,0,0
3351526,105,39588.6,0,0,0,1,0,0,0
3351523,106,2.0404e+07,0,0,0,16,0,0,0
3351521,107,5.92629e+07,0,0,0,36,0,0,0
3351519,108,1.89142e+07,0,0,0,28,0,0,0
3351494,109,2.01533e+06,0,0,0,9,0,0,0
3351483,110,823279,0,0,0,2,0,0,0
3351333,111,101739,0,0,0,2,0,0,0
3351331,112,1.16413e+06,0,0,0,2,0,0,0
3351330,113,717565,0,0,0,9,0,0,0
3351323,114,4.29909e+06,0,0,0,2,0,0,0
3351322,115,1.68009e+07,0,0,0,14,0,0,0
3351320,116,2.42153e+08,0,0,0,15,0,0,0
3351318,117,6.4576e+06,0,0,0,13,0,0,0
3351316,118,6.59286e+06,0,0,0,5,0,0,0
3351314,119,5.86968e+06,0,0,0,6,0,0,0
3351313,120,4.22226e+07,0,0,0,18,0,0,0
3351311,121,2.75609e+07,0,0,0,20,0,0,0
3351310,122,379077,0,0,0,2,0,0,0
3351309,123,1.53664e+07,0,0,0,8,0,0,0
3351308,124,1.81861e+07,0,0,0,20,0,0,0
3351304,125,773459,0,0,0,1,0,0,0
3281619,126,1.48126e+06,0,0,0,2,0,0,0
3281618,127,2.79042e+06,0,0,0,3,0,0,0
3281617,128,6.46408e+06,0,0,0,8,0,0,0
3281616,129,7.97264e+06,0,0,0,11,0,0,0
3281611,130,1.1354e+07,0,0,0,8,0,0,0
3281565,131,705108,0,0,0,2,0,0,0
3281550,132,805782,0,0,0,1,0,0,0
3281544,133,4.07012e+06,0,0,0,7,0,0,0
3281541,134,1.47388e+07,0,0,0,23,0,0,0
3281540,135,1.90148e+07,0,0,0,18,0,0,0
3281539,136,5.79871e+07,0,0,0,23,0,0,0
3281538,137,4.77422e+07,0,0,0,16,0,0,0
3281537,138,1.1357e+08,0,0,0,57,0,0,0
3281535,139,3.86875e+07,0,0,0,35,0,0,0
3281534,140,628689,0,0,0,5,0,0,0
3281523,141,4.55917e+06,0,0,0,6,0,0,0
3281521,142,1.22686e+07,0,0,0,15,0,0,0
3281520,143,1.34536e+06,0,0,0,10,0,0,0
3281519,144,9.60271e+06,0,0,0,24,0,0,0
3281479,145,5.47686e+07,0,0,0,105,0,0,0
3281478,146,1.94248e+07,0,0,0,6,0,0,0
3281477,147,7.40765e+07,0,0,0,21,0,0,0
3281476,148,3.77214e+07,0,0,0,61,0,0,0
3281475,149,1.96322e+06,0,0,0,59,0,0,0
3281474,150,1.26049e+06,0,0,0,4,0,0,0
3281471,151,8.44029e+06,0,0,0,20,0,0,0
3281465,152,172917,0,0,0,1,0,0,0
3281463,153,8.90765e+07,0,0,0,24,0,0,0
3281461,154,565645,0,0,0,3,0,0,0
3281445,155,3.49897e+07,0,0,0,11,0,0,0
3281444,156,2.59585e+07,0,0,0,12,0,0,0
3281443,157,3.8368e+06,0,0,0,11,0,0,0
3281441,158,3.18818e+07,0,0,0,11,0,0,0
3281437,159,404378,0,0,0,8,0,0,0
3281435,160,9.70704e+06,0,0,0,4,0,0,0
3281434,161,2.15182e+06,0,0,0,3,0,0,0
3281432,162,1.89871e+06,0,0,0,2,0,0,0
3281430,163,618657,0,0,0,4,0,0,0
3281426,164,272919,0,0,0,2,0,0,0
3281423,165,8.91699e+06,0,0,0,7,0,0,0
3281422,166,1.2593e+07,0,0,0,8,0,0,0
3281420,167,3.24029e+06,0,0,0,7,0,0,0
3281417,168,4.17326e+06,0,0,0,7,0,0,0
3281385,169,1.48747e+08,0,0,0,48,0,0,0
3281384,170,3.47897e+07,0,0,0,19,0,0,0
3281383,171,3.08597e+08,0,0,0,107,0,0,0
3281382,172,2.13698e+08,0,0,0,111,0,0,0
3281381,173,7.7718e+06,0,0,0,17,0,0,0
3281380,174,1.76628e+08,0,0,0,76,0,0,0
3281379,175,8.90579e+06,0,0,0,7,0,0,0
3281378,176,1.34013e+08,0,0,0,102,0,0,0
3281377,177,5.79981e+06,0,0,0,5,0,0,0
3281376,178,7.03256e+06,0,0,0,7,0,0,0
3281375,179,1.18228e+07,0,0,0,9,0,0,0
3281374,180,1.04281e+08,0,0,0,43,0,0,0
3281373,181,9.81335e+07,0,0,0,65,0,0,0
3281370,182,134185,0,0,0,3,0,0,0
3281369,183,1.3861e+07,0,0,0,26,0,0,0
3281364,184,5.82643e+09,0,0,0,211,0,0,0
3281330,185,382560,0,0,0,7,0,0,0
3281323,186,2.76117e+06,0,0,0,3,0,0,0
3281322,187,2.57655e+07,0,0,0,12,0,0,0
3281320,188,1.24064e+08,0,0,0,15,0,0,0
3281318,189,6.28129e+06,0,0,0,10,0,0,0
3281316,190,2.0004e+07,0,0,0,6,0,0,0
3281314,191,21615.9,0,0,0,1,0,0,0
3281313,192,3.20621e+07,0,0,0,18,0,0,0
3281311,193,5.4224e+07,0,0,0,23,0,0,0
3281309,194,2.23648e+06,0,0,0,3,0,0,0
3281308,195,1.49715e+07,0,0,0,21,0,0,0
3281304,196,969136,0,0,0,3,0,0,0
3271818,197,1.41471e+06,0,0,0,2,0,0,0
3271794,198,1.02155e+07,0,0,0,20,0,0,0
3271790,199,397195,0,0,0,2,0,0,0
3271782,200,522386,0,0,0,2,0,0,0
3271775,201,3.31093e+07,0,0,0,14,0,0,0
3271774,202,7.67215e+07,0,0,0,80,0,0,0
3271772,203,1.62637e+07,0,0,0,30,0,0,0
3271771,204,2.11947e+06,0,0,0,4,0,0,0
3271703,205,707813,0,0,0,2,0,0,0
3271700,206,398930,0,0,0,2,0,0,0
3271696,207,128774,0,0,0,2,0,0,0
3271636,208,9.71396e+06,0,0,0,9,0,0,0
3271633,209,4.40404e+06,0,0,0,13,0,0,0
3271631,210,72888.9,0,0,0,1,0,0,0
3271624,211,6.90369e+06,0,0,0,5,0,0,0
3271619,212,3.47558e+07,0,0,0,167,0,0,0
3271616,213,5.18451e+07,0,0,0,138,0,0,0
3271613,214,1.11114e+06,0,0,0,3,0,0,0
3271612,215,968986,0,0,0,2,0,0,0
3271611,216,490415,0,0,0,4,0,0,0
3271610,217,6.75115e+06,0,0,0,15,0,0,0
3271608,218,5.58142e+06,0,0,0,15,0,0,0
3271603,219,4.34133e+07,0,0,0,20,0,0,0
3271580,220,145475,0,0,0,1,0,0,0
3271565,221,971674,0,0,0,11,0,0,0
3271541,222,1.71407e+06,0,0,0,1,0,0,0
3271523,223,5.18914e+07,0,0,0,40,0,0,0
3271521,224,1.01244e+08,0,0,0,104,0,0,0
3271519,225,5.93028e+07,0,0,0,62,0,0,0
3271518,226,1.44717e+06,0,0,0,4,0,0,0
3271494,227,1.43796e+07,0,0,0,37,0,0,0
3271476,228,992384,0,0,0,8,0,0,0
3271461,229,86350.1,0,0,0,1,0,0,0
3261817,230,3.03056e+08,0,0,0,18,0,0,0
3261812,231,7.73076e+06,0,0,0,6,0,0,0
3261811,232,2.09662e+09,0,0,0,70,0,0,0
3261810,233,59361.1,0,0,0,2,0,0,0
3261807,234,1.2724e+06,0,0,0,8,0,0,0
3261703,235,2.08209e+07,0,0,0,16,0,0,0
3261701,236,1.8935e+07,0,0,0,15,0,0,0
3261700,237,1.05411e+07,0,0,0,17,0,0,0
3261696,238,1.17901e+07,0,0,0,20,0,0,0
3261687,239,1.09821e+07,0,0,0,18,0,0,0
3261636,240,3.11512e+07,0,0,0,58,0,0,0
3261634,241,8.34594e+06,0,0,0,7,0,0,0
3261633,242,2.82754e+07,0,0,0,37,0,0,0
3261631,243,3.4928e+06,0,0,0,6,0,0,0
3261629,244,6.24938e+06,0,0,0,11,0,0,0
3261626,245,2.41764e+06,0,0,0,1,0,0,0
3261624,246,1.61694e+08,0,0,0,15,0,0,0
3261619,247,4.79189e+07,0,0,0,189,0,0,0
3261616,248,1.90078e+07,0,0,0,86,0,0,0
3261611,249,5.98221e+06,0,0,0,20,0,0,0
3261610,250,2.12017e+06,0,0,0,10,0,0,0
3261608,251,3.72769e+06,0,0,0,10,0,0,0
3261603,252,6.09393e+08,0,0,0,67,0,0,0
3261565,253,1.9903e+06,0,0,0,6,0,0,0
3261541,254,4.63601e+07,0,0,0,21,0,0,0
3261531,255,1.55284e+07,0,0,0,4,0,0,0
3261530,256,1.6498e+07,0,0,0,4,0,0,0
3261529,257,1.38411e+07,0,0,0,14,0,0,0
3261527,258,6.05003e+06,0,0,0,9,0,0,0
3261526,259,2.01308e+06,0,0,0,3,0,0,0
3261523,260,1.48179e+07,0,0,0,11,0,0,0
3261521,261,1.95174e+07,0,0,0,39,0,0,0
3261519,262,2.52207e+07,0,0,0,43,0,0,0
3261518,263,143964,0,0,0,2,0,0,0
3261517,264,1.50496e+06,0,0,0,1,0,0,0
3261497,265,5.01687e+06,0,0,0,17,0,0,0
3261495,266,332361,0,0,0,1,0,0,0
3261494,267,2.58045e+06,0,0,0,11,0,0,0
3261489,268,2.99745e+06,0,0,0,7,0,0,0
3261481,269,8.63242e+06,0,0,0,7,0,0,0
3261479,270,2.76597e+06,0,0,0,7,0,0,0
3261476,271,103575,0,0,0,1,0,0,0
3261461,272,51337.7,0,0,0,2,0,0,0
3261457,273,1.49155e+06,0,0,0,4,0,0,0
3261385,274,1.48034e+07,0,0,0,21,0,0,0
3261384,275,821432,0,0,0,3,0,0,0
3261383,276,1.17523e+07,0,0,0,9,0,0,0
3261382,277,1.67833e+07,0,0,0,22,0,0,0
3261380,278,3.45468e+07,0,0,0,13,0,0,0
3261378,279,1.72301e+07,0,0,0,21,0,0,0
3261375,280,950168,0,0,0,4,0,0,0
3261373,281,3.44993e+07,0,0,0,7,0,0,0
3261372,282,5.02764e+07,0,0,0,13,0,0,0
3261370,283,244989,0,0,0,4,0,0,0
3261369,284,2.27064e+06,0,0,0,8,0,0,0
3261367,285,7.97224e+06,0,0,0,4,0,0,0
3261366,286,1.66823e+08,0,0,0,12,0,0,0
3261364,287,6.48736e+07,0,0,0,11,0,0,0
3261337,288,6.98957e+07,0,0,0,6,0,0,0
3261333,289,280031,0,0,0,2,0,0,0
3261331,290,2.00885e+06,0,0,0,5,0,0,0
3261330,291,2.59231e+06,0,0,0,9,0,0,0
3261327,292,123382,0,0,0,2,0,0,0
3261322,293,3.35696e+07,0,0,0,9,0,0,0
3261320,294,4.56456e+08,0,0,0,20,0,0,0
3261318,295,1.07875e+07,0,0,0,8,0,0,0
3261316,296,1.7231e+07,0,0,0,15,0,0,0
3261313,297,9.80212e+06,0,0,0,10,0,0,0
3261311,298,1.15875e+07,0,0,0,13,0,0,0
3261309,299,817593,0,0,0,3,0,0,0
3261308,300,5.92022e+06,0,0,0,7,0,0,0
3261303,301,2.79335e+07,0,0,0,10,0,0,0
3261302,302,4.91931e+06,0,0,0,4,0,0,0
3261300,303,3.05373e+08,0,0,0,14,0,0,0
3251818,304,2.70185e+07,0,0,0,10,0,0,0
3251794,305,1.34011e+06,0,0,0,6,0,0,0
3251792,306,45843.2,0,0,0,1,0,0,0
3251790,307,2.08288e+06,0,0,0,12,0,0,0
3251784,308,42319.7,0,0,0,1,0,0,0
3251782,309,3.77611e+06,0,0,0,12,0,0,0
3251780,310,245294,0,0,0,3,0,0,0
3251776,311,311503,0,0,0,3,0,0,0
3251774,312,2.74836e+07,0,0,0,65,0,0,0
3251772,313,1.24979e+07,0,0,0,46,0,0,0
3251771,314,1.26598e+06,0,0,0,9,0,0,0
3251770,315,903961,0,0,0,5,0,0,0
3251769,316,26986.2,0,0,0,1,0,0,0
3251756,317,440417,0,0,0,3,0,0,0
3251755,318,8.15591e+06,0,0,0,8,0,0,0
3251754,319,2.8902e+06,0,0,0,8,0,0,0
3251700,320,3.14005e+06,0,0,0,4,0,0,0
3251698,321,512398,0,0,0,4,0,0,0
3251696,322,913335,0,0,0,4,0,0,0
3251687,323,8.81572e+06,0,0,0,9,0,0,0
3251680,324,1.31039e+06,0,0,0,2,0,0,0
3251619,325,2.33752e+06,0,0,0,15,0,0,0
3251616,326,7.56736e+06,0,0,0,25,0,0,0
3251611,327,1.34398e+06,0,0,0,11,0,0,0
3251605,328,90805.4,0,0,0,1,0,0,0
3251601,329,471671,0,0,0,9,0,0,0
3251598,330,778769,0,0,0,7,0,0,0
3251593,331,221854,0,0,0,3,0,0,0
3251580,332,1.7186e+06,0,0,0,10,0,0,0
3251565,333,609263,0,0,0,11,0,0,0
2371804,334,283403,0,0,0,2,0,0,0
2371794,335,1.00077e+07,0,0,0,13,0,0,0
2371790,336,5.29331e+06,0,0,0,3,0,0,0
2371788,337,690003,0,0,0,3,0,0,0
2371784,338,1.94598e+06,0,0,0,5,0,0,0
2371782,339,3.28618e+07,0,0,0,32,0,0,0
2371779,340,3.98307e+06,0,0,0,5,0,0,0
2371774,341,982093,0,0,0,3,0,0,0
2371764,342,484938,0,0,0,2,0,0,0
2371756,343,326593,0,0,0,2,0,0,0
2371755,344,892510,0,0,0,2,0,0,0
2371703,345,5.11974e+06,0,0,0,10,0,0,0
2371700,346,2.88555e+06,0,0,0,8,0,0,0
2371696,347,2.47893e+06,0,0,0,7,0,0,0
2371688,348,64814.3,0,0,0,1,0,0,0
2371687,349,1.24517e+06,0,0,0,2,0,0,0
2371619,350,1.69242e+07,0,0,0,52,0,0,0
2371616,351,374557,0,0,0,2,0,0,0
2371611,352,180068,0,0,0,2,0,0,0
2371603,353,2.57733e+07,0,0,0,11,0,0,0
2371601,354,9.44675e+06,0,0,0,37,0,0,0
2371599,355,1.02845e+06,0,0,0,2,0,0,0
2371598,356,2.54747e+07,0,0,0,30,0,0,0
2371593,357,2.20567e+06,0,0,0,16,0,0,0
2371587,358,829529,0,0,0,2,0,0,0
2371584,359,4.79596e+06,0,0,0,3,0,0,0
2371583,360,400323,0,0,0,3,0,0,0
2371580,361,1.55452e+06,0,0,0,3,0,0,0
2371565,362,350112,0,0,0,12,0,0,0
2371531,363,2.02597e+06,0,0,0,2,0,0,0
2371529,364,2.17097e+06,0,0,0,4,0,0,0
2371523,365,2.62596e+06,0,0,0,7,0,0,0
